Source,Target,Weight
1,2,-215
1,3,114
1,4,-89
1,5,-77
1,6,94
1,7,-170
1,8,176
1,9,117
1,10,-210
2,1,-215
2,3,-217
2,4,134
2,5,77
2,6,-150
2,7,57
2,8,-253
2,9,-230
2,10,49
3,1,114
3,2,-217
3,4,-203
3,5,-80
3,6,138
3,7,-109
3,8,177
3,9,180
3,10,-174
4,1,-89
4,2,134
4,3,-203
4,5,157
4,6,-142
4,7,173
4,8,-241
4,9,-254
4,10,23
5,1,-77
5,2,77
5,3,-80
5,4,157
5,6,-188
5,7,170
5,8,-120
5,9,-160
5,10,-9
6,1,94
6,2,-150
6,3,138
6,4,-142
6,5,-188
6,7,-97
6,8,140
6,9,116
6,10,-106
7,1,-170
7,2,57
7,3,-109
7,4,173
7,5,170
7,6,-97
7,8,-184
7,9,-191
7,10,-6
8,1,176
8,2,-253
8,3,177
8,4,-241
8,5,-120
8,6,140
8,7,-184
8,9,235
8,10,-132
9,1,117
9,2,-230
9,3,180
9,4,-254
9,5,-160
9,6,116
9,7,-191
9,8,235
9,10,-164
10,1,-210
10,2,49
10,3,-174
10,4,23
10,5,-9
10,6,-106
10,7,-6
10,8,-132
10,9,-164
