Source,Target,Weight
"""1""","""2""",2
"""2""","""3""",-2
"""3""","""1""",-2
"""2""","""5""",-2
"""5""","""1""",-2
"""2""","""6""",-2
"""6""","""1""",-2
"""1""","""3""",-2
"""3""","""6""",2
"""3""","""4""",2
"""4""","""1""",-2
"""1""","""5""",-2
"""5""","""15""",-2
"""15""","""1""",2
"""5""","""16""",-2
"""16""","""1""",2
"""1""","""12""",-2
"""12""","""16""",-2
"""1""","""15""",2
"""15""","""16""",2
"""6""","""2""",-2
"""15""","""2""",2
"""16""","""2""",2
"""2""","""9""",-2
"""9""","""10""",2
"""10""","""2""",-2
"""9""","""15""",-2
"""2""","""15""",2
"""6""","""7""",2
"""7""","""3""",2
"""6""","""8""",2
"""8""","""3""",2
"""4""","""8""",2
"""3""","""7""",2
"""7""","""8""",2
"""5""","""9""",2
"""15""","""5""",-2
"""5""","""14""",2
"""14""","""16""",-2
"""16""","""5""",-2
"""8""","""6""",2
"""7""","""11""",2
"""11""","""6""",2
"""7""","""12""",2
"""12""","""6""",2
"""7""","""13""",1
"""8""","""11""",2
"""8""","""12""",2
"""6""","""11""",2
"""11""","""12""",2
"""11""","""13""",-2
"""13""","""6""",-2
"""11""","""16""",-2
"""16""","""6""",-2
"""11""","""7""",2
"""12""","""7""",2
"""13""","""7""",1
"""10""","""11""",-2
"""11""","""9""",-2
"""10""","""13""",2
"""13""","""9""",2
"""10""","""15""",-2
"""15""","""9""",-2
"""9""","""11""",-1
"""12""","""8""",2
"""12""","""14""",-2
"""14""","""8""",-2
"""15""","""10""",-1
"""16""","""11""",-2
"""13""","""16""",-1
"""11""","""15""",-2
"""12""","""15""",-2
"""16""","""12""",-2
"""13""","""14""",2
"""16""","""13""",-2
"""13""","""15""",-2
