Source,Target,Weight
"""4""","""9""",-508
"""9""","""4""",-508
"""2""","""8""",-506
"""8""","""2""",-506
"""4""","""8""",-482
"""8""","""4""",-482
"""2""","""9""",-460
"""9""","""2""",-460
"""2""","""3""",-434
"""1""","""2""",-430
"""10""","""1""",-420
"""3""","""4""",-406
"""7""","""9""",-382
"""9""","""7""",-382
"""5""","""6""",-376
"""7""","""8""",-368
"""3""","""10""",-348
"""10""","""3""",-348
"""7""","""1""",-340
"""1""","""7""",-340
"""9""","""10""",-328
"""5""","""9""",-320
"""9""","""5""",-320
"""2""","""6""",-300
"""6""","""2""",-300
"""4""","""6""",-284
"""6""","""4""",-284
"""8""","""10""",-264
"""10""","""8""",-264
"""5""","""8""",-240
"""8""","""5""",-240
"""3""","""7""",-218
"""7""","""3""",-218
"""6""","""10""",-212
"""10""","""6""",-212
"""6""","""7""",-194
"""4""","""1""",-178
"""1""","""4""",-178
"""3""","""5""",-160
"""5""","""3""",-160
"""5""","""1""",-154
"""1""","""5""",-154
"""10""","""5""",-18
"""7""","""10""",-12
"""5""","""10""",-9
"""10""","""7""",-6
"""4""","""10""",46
"""10""","""4""",46
"""2""","""10""",98
"""10""","""2""",98
"""2""","""7""",114
"""7""","""2""",114
"""2""","""5""",154
"""5""","""2""",154
"""6""","""1""",188
"""1""","""6""",188
"""3""","""1""",228
"""1""","""3""",228
"""6""","""9""",232
"""9""","""6""",232
"""9""","""1""",234
"""1""","""9""",234
"""2""","""4""",268
"""4""","""2""",268
"""3""","""6""",276
"""6""","""3""",276
"""6""","""8""",280
"""8""","""6""",280
"""4""","""5""",314
"""5""","""7""",340
"""7""","""5""",340
"""4""","""7""",346
"""7""","""4""",346
"""8""","""1""",352
"""1""","""8""",352
"""3""","""8""",354
"""8""","""3""",354
"""3""","""9""",360
"""9""","""3""",360
"""8""","""9""",470
