Source,Target,Weight
1,2,-430
1,3,228
1,4,-178
1,5,-154
1,6,188
1,7,-340
1,8,352
1,9,234
1,10,-210
2,1,-215
2,3,-434
2,4,268
2,5,154
2,6,-300
2,7,114
2,8,-506
2,9,-460
2,10,98
3,1,228
3,2,-217
3,4,-406
3,5,-160
3,6,276
3,7,-218
3,8,354
3,9,360
3,10,-348
4,1,-178
4,2,268
4,3,-203
4,5,314
4,6,-284
4,7,346
4,8,-482
4,9,-508
4,10,46
5,1,-154
5,2,154
5,3,-160
5,4,157
5,6,-376
5,7,340
5,8,-240
5,9,-320
5,10,-9
6,1,188
6,2,-300
6,3,276
6,4,-284
6,5,-188
6,7,-194
6,8,280
6,9,232
6,10,-212
7,1,-340
7,2,114
7,3,-218
7,4,346
7,5,340
7,6,-97
7,8,-368
7,9,-382
7,10,-6
8,1,352
8,2,-506
8,3,354
8,4,-482
8,5,-240
8,6,280
8,7,-184
8,9,470
8,10,-264
9,1,234
9,2,-460
9,3,360
9,4,-508
9,5,-320
9,6,232
9,7,-382
9,8,235
9,10,-328
10,1,-420
10,2,98
10,3,-348
10,4,23
10,5,-9
10,6,-106
10,7,-6
10,8,-264
10,9,-164
