Source,Target,Weight,Timestamp
1,2,1,1291093200
1,4,2,1300161600
1,9,2,1329454800
1,10,3,1375243200
1,11,5,1372046400
1,15,2,1319860800
1,18,4,1314936000
1,20,3,1342584000
1,22,2,1320728400
1,29,1,1338955200
1,35,4,1330578000
1,38,1,1322715600
1,42,1,1304568000
1,44,3,1415854800
1,57,2,1314936000
1,67,1,1347163200
1,68,1,1349841600
1,71,2,1348545600
1,72,1,1316318400
1,75,1,1319256000
1,76,1,1309320000
1,87,2,1380686400
1,89,3,1345521600
1,90,1,1313467200
1,95,1,1350792000
1,96,1,1400040000
1,112,3,1362546000
1,113,2,1291006800
1,115,1,1367726400
1,116,1,1349582400
1,117,1,1332907200
1,118,1,1399867200
1,123,1,1343880000
1,124,1,1352955600
1,142,2,1365566400
1,146,1,1390539600
1,151,1,1369886400
1,152,2,1354078800
1,154,1,1384837200
1,155,1,1311307200
1,156,2,1325739600
1,158,1,1373774400
1,160,10,1317182400
1,174,1,1360731600
1,175,1,1318910400
1,178,1,1343966400
1,179,1,1348977600
1,194,1,1353474000
1,196,2,1391576400
1,214,1,1348113600
1,222,2,1386392400
1,223,3,1304568000
1,231,1,1311134400
1,247,2,1373256000
1,249,1,1418101200
1,250,1,1419310800
1,255,2,1323147600
1,256,3,1343016000
1,258,1,1346731200
1,259,1,1333080000
1,260,1,1341028800
1,264,1,1316232000
1,276,1,1333339200
1,290,1,1369281600
1,291,1,1374897600
1,292,1,1373774400
1,296,1,1359781200
1,300,1,1307505600
1,301,1,1336968000
1,304,1,1315886400
1,305,1,1320120000
1,309,5,1378353600
1,330,1,1341115200
1,331,1,1350014400
1,333,1,1355115600
1,346,1,1319860800
1,347,1,1329195600
1,351,2,1409371200
1,370,1,1388379600
1,373,1,1349841600
1,377,1,1402632000
1,379,2,1300939200
1,395,1,1355806800
1,396,1,1352437200
1,416,2,1391835600
1,432,1,1377921600
1,439,1,1347940800
1,454,1,1373774400
1,455,1,1339992000
1,459,1,1364184000
1,462,1,1378094400
1,472,2,1306728000
1,474,1,1341288000
1,483,1,1366862400
1,491,1,1348459200
1,493,2,1363665600
1,503,1,1303790400
1,507,1,1306728000
1,517,1,1327035600
1,519,2,1334721600
1,523,1,1360213200
1,529,1,1357534800
1,534,1,1304568000
1,543,1,1311048000
1,545,1,1391835600
1,554,1,1345867200
1,563,2,1312862400
1,578,1,1307073600
1,586,1,1314763200
1,587,1,1320642000
1,594,5,1370836800
1,596,1,1354683600
1,613,1,1316059200
1,617,1,1383105600
1,623,1,1339387200
1,625,1,1293426000
1,636,1,1334116800
1,637,4,1418792400
1,649,1,1384923600
1,683,1,1319774400
1,697,1,1347163200
1,701,1,1353214800
1,709,1,1396497600
1,710,2,1314504000
1,725,1,1307160000
1,734,1,1314417600
1,736,1,1322456400
1,744,1,1293426000
1,747,1,1342497600
1,753,1,1356066000
1,783,3,1368676800
1,796,1,1324616400
1,804,1,1337572800
1,810,1,1347595200
1,817,1,1363233600
1,821,3,1369108800
1,846,1,1301976000
1,874,1,1334808000
1,888,4,1365652800
1,891,1,1368849600
1,896,1,1378872000
1,944,1,1320120000
1,951,1,1329627600
1,955,1,1335067200
1,958,1,1335758400
1,964,3,1350187200
1,994,1,1304568000
1,1024,1,1396843200
1,1025,1,1324443600
1,1028,7,1348804800
1,1029,1,1329454800
1,1034,1,1333771200
1,1043,1,1345867200
1,1051,1,1365393600
1,1060,1,1361768400
1,1061,1,1372219200
1,1063,1,1365912000
1,1066,1,1372392000
1,1072,1,1402200000
1,1117,1,1307505600
1,1128,1,1322888400
1,1129,1,1309665600
1,1136,1,1318737600
1,1147,1,1402632000
1,1148,1,1335412800
1,1167,1,1347508800
1,1177,2,1362027600
1,1180,1,1359694800
1,1186,1,1364529600
1,1195,1,1377144000
1,1197,1,1385701200
1,1198,1,1389762000
1,1232,1,1304654400
1,1248,1,1307419200
1,1251,1,1307764800
1,1261,2,1309320000
1,1267,2,1363320000
1,1282,1,1315886400
1,1283,1,1318564800
1,1284,1,1316491200
1,1285,1,1316059200
1,1288,1,1321765200
1,1295,1,1326085200
1,1302,1,1328418000
1,1309,1,1331697600
1,1313,1,1332129600
1,1315,2,1334808000
1,1316,5,1353301200
1,1318,1,1333080000
1,1320,1,1334635200
1,1331,1,1349668800
1,1336,1,1345694400
1,1337,1,1345262400
1,1339,1,1354856400
1,1340,1,1346558400
1,1342,1,1350014400
1,1353,2,1402200000
1,1355,1,1361163600
1,1356,1,1360213200
1,1358,2,1372737600
1,1365,1,1366776000
1,1382,1,1386738000
1,1392,4,1416978000
1,1413,1,1309752000
1,1436,1,1321592400
1,1442,1,1353906000
1,1445,1,1309147200
1,1457,1,1312776000
1,1458,1,1329714000
1,1465,1,1313985600
1,1475,1,1314590400
1,1482,1,1324270800
1,1483,1,1324270800
1,1491,1,1331870400
1,1492,1,1332302400
1,1493,2,1334548800
1,1494,1,1334116800
1,1496,2,1334116800
1,1500,1,1334808000
1,1502,1,1335326400
1,1505,1,1338177600
1,1509,1,1339387200
1,1510,1,1338523200
1,1519,2,1363924800
1,1520,4,1412654400
1,1521,1,1362805200
1,1522,1,1379649600
1,1525,1,1350532800
1,1538,2,1358139600
1,1542,1,1359349200
1,1570,1,1369022400
1,1573,2,1408939200
1,1574,1,1369540800
1,1579,1,1374897600
1,1580,1,1395288000
1,1583,4,1380945600
1,1589,1,1389243600
1,1590,1,1415941200
1,1606,2,1302062400
1,1708,1,1310097600
1,1715,1,1314676800
1,1720,1,1313726400
1,1724,2,1322802000
1,1736,1,1324616400
1,1742,1,1340856000
1,1749,1,1329886800
1,1750,2,1330232400
1,1760,1,1334376000
1,1793,1,1346731200
1,1796,1,1354338000
1,1822,1,1357362000
1,1826,1,1357362000
1,1835,1,1360040400
1,1839,1,1362718800
1,1840,1,1362974400
1,1842,1,1364097600
1,1843,1,1364702400
1,1846,1,1372824000
1,1847,1,1366084800
1,1856,1,1367726400
1,1860,1,1370577600
1,1862,1,1385528400
1,1867,1,1385701200
1,1875,1,1375675200
1,1877,2,1378872000
1,1881,2,1420261200
1,1885,1,1385701200
1,1886,1,1384923600
1,1900,1,1411704000
1,1901,3,1411790400
1,1923,1,1314417600
1,1942,1,1304913600
1,1952,2,1312948800
1,2065,1,1308196800
1,2090,1,1347768000
1,2093,1,1316577600
1,2102,1,1310961600
1,2108,1,1314158400
1,2109,1,1311825600
1,2113,2,1352696400
1,2117,1,1313640000
1,2119,1,1314763200
1,2127,1,1318305600
1,2129,1,1319515200
1,2136,1,1322542800
1,2144,1,1323579600
1,2147,1,1349323200
1,2149,1,1323838800
1,2152,1,1324098000
1,2163,1,1326690000
1,2166,1,1326776400
1,2167,1,1327294800
1,2173,1,1328850000
1,2176,1,1329454800
1,2177,1,1330664400
1,2178,1,1334116800
1,2181,1,1331524800
1,2185,1,1332129600
1,2198,1,1334721600
1,2217,1,1338782400
1,2227,2,1353301200
1,2235,1,1350446400
1,2238,1,1344484800
1,2249,2,1355893200
1,2252,1,1348977600
1,2260,2,1350446400
1,2261,1,1350273600
1,2271,1,1351656000
1,2273,1,1352437200
1,2276,1,1352437200
1,2281,1,1354338000
1,2282,2,1353819600
1,2296,2,1359954000
1,2305,1,1413345600
1,2315,1,1360386000
1,2324,1,1362805200
1,2334,1,1363924800
1,2338,1,1364097600
1,2342,1,1374897600
1,2351,1,1365998400
1,2352,1,1365912000
1,2367,2,1371700800
1,2368,1,1370318400
1,2375,1,1373774400
1,2378,1,1375070400
1,2383,1,1377144000
1,2391,1,1379131200
1,2401,1,1386738000
1,2402,1,1388379600
1,2427,1,1419310800
1,2448,1,1302580800
1,2498,1,1321419600
1,2559,1,1307073600
1,2586,1,1307505600
1,2605,1,1308024000
1,2619,1,1308024000
1,2632,1,1325739600
1,2687,1,1309838400
1,2695,1,1309665600
1,2700,1,1310097600
1,2707,1,1312948800
1,2713,1,1311566400
1,2725,1,1312171200
1,2731,1,1312776000
1,2742,1,1313726400
1,2743,1,1314158400
1,2744,1,1314417600
1,2746,1,1314849600
1,2747,1,1314763200
1,2750,1,1315195200
1,2752,1,1315195200
1,2754,1,1316059200
1,2756,1,1316059200
1,2763,1,1317268800
1,2764,1,1317268800
1,2767,1,1317614400
1,2771,1,1318996800
1,2772,1,1319601600
1,2775,1,1319860800
1,2779,1,1320120000
1,2780,1,1320292800
1,2782,1,1336190400
1,2783,1,1320642000
1,2784,1,1320814800
1,2786,1,1320814800
1,2793,1,1321765200
1,2795,1,1322024400
1,2801,1,1322542800
1,2806,1,1323320400
1,2808,1,1323666000
1,2810,1,1324616400
1,2814,1,1324962000
1,2820,1,1325480400
1,2823,1,1325912400
1,2826,1,1327035600
1,2830,1,1326258000
1,2837,1,1327035600
1,2844,1,1328850000
1,2845,1,1329368400
1,2846,1,1329109200
1,2848,1,1329714000
1,2858,1,1330664400
1,2870,1,1331697600
1,2876,1,1333080000
1,2881,1,1333080000
1,2892,1,1334116800
1,2898,1,1334808000
1,2904,1,1335326400
1,2907,1,1336017600
1,2909,1,1335931200
1,2920,1,1337054400
1,2926,1,1339300800
1,2927,1,1338004800
1,2941,1,1339905600
1,2942,1,1339473600
1,2945,1,1339560000
1,2947,1,1339905600
1,2952,1,1340337600
1,2962,1,1341374400
1,2966,1,1342238400
