"Source","Target","Weight"
"""2""","""3""","217.0"
"""3""","""4""","203.0"
"""4""","""2""","134.0"
"""2""","""3""","217.0"
"""3""","""5""","80.0"
"""5""","""2""","77.0"
"""1""","""2""","215.0"
"""2""","""3""","217.0"
"""3""","""1""","114.0"
"""1""","""2""","215.0"
"""2""","""4""","134.0"
"""4""","""1""","89.0"
"""1""","""2""","215.0"
"""2""","""5""","77.0"
"""5""","""1""","77.0"
"""1""","""2""","215.0"
"""2""","""6""","150.0"
"""6""","""1""","94.0"
"""1""","""2""","215.0"
"""2""","""7""","57.0"
"""7""","""1""","170.0"
"""2""","""3""","217.0"
"""3""","""6""","138.0"
"""6""","""2""","150.0"
"""2""","""3""","217.0"
"""3""","""7""","109.0"
"""7""","""2""","57.0"
"""4""","""5""","157.0"
"""5""","""6""","188.0"
"""6""","""4""","142.0"
"""2""","""3""","217.0"
"""3""","""8""","177.0"
"""8""","""2""","253.0"
"""2""","""3""","217.0"
"""3""","""9""","180.0"
"""9""","""2""","230.0"
"""4""","""5""","157.0"
"""5""","""7""","170.0"
"""7""","""4""","173.0"
"""2""","""3""","217.0"
"""3""","""10""","174.0"
"""10""","""2""","49.0"
"""4""","""5""","157.0"
"""5""","""8""","120.0"
"""8""","""4""","241.0"
"""4""","""5""","157.0"
"""5""","""9""","160.0"
"""9""","""4""","254.0"
"""4""","""5""","-157.0"
"""5""","""10""","-9.0"
"""10""","""4""","-23.0"
"""2""","""4""","134.0"
"""4""","""5""","157.0"
"""5""","""2""","77.0"
"""4""","""6""","142.0"
"""6""","""7""","97.0"
"""7""","""4""","173.0"
"""2""","""4""","134.0"
"""4""","""6""","142.0"
"""6""","""2""","150.0"
"""4""","""6""","142.0"
"""6""","""8""","140.0"
"""8""","""4""","241.0"
"""2""","""4""","134.0"
"""4""","""7""","173.0"
"""7""","""2""","57.0"
"""4""","""6""","142.0"
"""6""","""9""","116.0"
"""9""","""4""","254.0"
"""2""","""4""","134.0"
"""4""","""8""","241.0"
"""8""","""2""","253.0"
"""4""","""6""","142.0"
"""6""","""10""","106.0"
"""10""","""4""","23.0"
"""2""","""4""","134.0"
"""4""","""9""","254.0"
"""9""","""2""","230.0"
"""3""","""4""","203.0"
"""4""","""5""","157.0"
"""5""","""3""","80.0"
"""4""","""7""","173.0"
"""7""","""8""","184.0"
"""8""","""4""","241.0"
"""4""","""7""","173.0"
"""7""","""9""","191.0"
"""9""","""4""","254.0"
"""4""","""7""","-173.0"
"""7""","""10""","-6.0"
"""10""","""4""","-23.0"
"""4""","""8""","241.0"
"""8""","""9""","235.0"
"""9""","""4""","254.0"
"""4""","""8""","241.0"
"""8""","""10""","132.0"
"""10""","""4""","23.0"
"""4""","""9""","254.0"
